Port,latitude,longitude
Amamapare ,-4.81667,136.96667
Ambon ,-3.68333,128.16667
Ampenan ,-8.56667,116.06667
Anyer Lor ,-6.05,105.91667
Ardjuna Oil Field ,-5.88333,107.71667
Balikpapan ,-1.25,116.81667
Banjarmasin ,-3.33333,114.58333
Banten ,-6.01667,105.96667
Baubau ,-5.46667,122.61667
Belanak Field Terminal ,4.15,106.25
Belawan ,3.78333,98.68333
Belida Marine Terminal ,4.13333,105.13333
Bengkalis ,1.46667,102.1
Bengkulu ,-3.78333,102.25
Benoa ,-8.75,115.21667
Bitung ,1.43333,125.18333
Blanglancang ,5.23333,97.1
Blinyu ,-1.63333,105.78333
Bontang Lng Terminal ,0.1,117.48333
Bula ,-3.1,130.5
Celukan Bawang ,-8.18333,114.83333
Cilacap ,-7.73333,109
Cinta Oil Terminal ,-5.5,106.23333
Dabo ,-0.5,104.56667
Donggala ,-0.65,119.73333
Dumai ,1.68333,101.45
Ende ,-8.83333,121.65
Fakfak ,-2.93333,132.28333
Gorontalo ,0.5,123.05
Gresik ,-7.15,112.65
Gunung Batu Besar ,-2.61667,116.3
Jabung Batanghari Marine Terminal ,-0.91667,104.06667
Jakarta ,-6.1,106.88333
Jayapura ,-2.53333,140.71667
Kasim Terminal ,-1.3,131.01667
Kendari ,-3.96667,122.58333
Kijang ,0.85,104.6
Kolonodale ,-1.98333,121.33333
Kota Baru ,-3.23333,116.21667
Kuala Kapus ,3,114.36667
Kuala Tanjung ,3.36667,99.48333
Kupang ,-10.16667,123.58333
Labuha ,-0.63333,127.46667
Labuhanhaji ,-8.7,116.56667
Lalang Marine Terminal ,1.18333,102.21667
Larantuka ,-8.35,122.98333
Lawi Lawi Oil Terminal ,-1.45,116.76667
Lhokseumawe ,5.25,97.11667
Lingkas ,3.28333,117.6
Luwuk ,-0.95,122.8
Manado ,1.5,124.83333
Mangkasa Oil Terminal ,-2.73333,121.06667
Manokwari Road ,-0.86667,134.08333
Maumere ,-8.61667,122.21667
Merak Mas Terminal ,-5.91917,105.99722
Merauke ,-8.48333,140.38333
Miei ,-2.73333,134.5
Muntok ,-2.06667,105.16667
Namlea ,-3.28333,127.08333
North Pulau Laut Coal Terminal ,-3.2,116.28333
Palembang ,-2.98333,104.76667
Pangkalansusu ,4.11667,98.21667
Pangkalpinang ,-2.11667,106.13333
Panjang ,-5.46667,105.31667
Patani ,0.36667,128.75
Pekalongan ,-6.85,109.7
Poleng Oil Field ,-6.65,112.91667
Pomalaa ,-4.16667,121.6
Pontianak ,-0.01667,109.33333
Poso ,-1.36667,120.75
Probolinggo ,-7.71667,113.21667
Pulau Baai ,-3.91667,102.28333
Pulau Sambu ,1.16667,103.9
Raha Roadstead ,-4.85,122.73333
Ramba ,-2.61667,104.13333
Rembang ,-6.7,111.35
Sabang ,5.88333,95.31667
Sailolof ,-1.25,130.75
Salawati ,-1.35,130.98333
Samarinda ,-0.51667,117.11667
Sampit ,-2.51667,113
Saumlaki ,-7.98333,131.3
Sekupang ,1.13333,103.91667
Semarang ,-6.95,110.41667
Serui ,-1.9,136.25
Sibolga ,1.73333,98.76667
Stagen ,-3.3,116.15
Sungaigerong ,-2.98333,104.83333
Sungaipakning ,1.35,102.16667
Surabaya ,-7.2,112.73333
Tahuna ,3.61667,125.48333
Tanjung Arang (Bunyu) ,3.46667,117.83333
Tanjung Balai Karimun ,0.98333,103.43333
Tanjung Benete ,-8.9,116.75
Tanjung Gerem ,-5.96667,105.98333
Tanjungpandan ,-2.75,107.63333
Tanjungpinang ,0.91667,104.45
Tanjungredeb ,2.15,117.48333
Tanjung Sangata ,0.36667,117.56667
Tanjung Santan ,-0.1,117.53333
Tanjung Sekong ,-5.91667,106
Tanjunguban ,1.06667,104.21667
Tarempah ,3.21667,106.21667
Teluk Bayur ,-0.1,100.36667
Teluk Beo ,4.23333,126.78333
Ternate ,0.78333,127.38333
Tg. Sorong ,-0.88333,131.23333
Toboali ,-3.01667,106.45
Tuban ,-6.73333,112.15
Udang Oilfield ,4.03333,106.48333
Ujung Pandang ,-5.13333,119.4
Uleelheue ,5.56667,95.28333
Wahai ,-2.78333,129.5
Waingapu ,-2.78333,129.5
Widuri Marine Terminal ,-4.66667,106.65
